NO PANELS,INVERTER SIZE,INVERTER MODEL,PANELS TYPE,Package Name,Invoice Description,PACKAGE Type,Package Price,Nett Price After Discount,DC Cable,DC cable Distance (m),mc4 qty(PAIR),Mounting structure,AC Cable,AC cable  Distance (m),Breaker,PV METER,PVC DB BOX
20,10,1X [3P] SAJ R6 10KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 20PCS JINKO 650W,"20X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 10KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"38,960","31,060",Master Tec 6mm DC Cable,40,10,20,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
21,10,1X [3P] SAJ R6 10KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 21PCS JINKO 650W,"21X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 10KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"40,240","31,770",Master Tec 6mm DC Cable,40,10,21,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
22,10,1X [3P] SAJ R6 10KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 22PCS JINKO 650W,"22X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 10KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"41,500","32,460",Master Tec 6mm DC Cable,40,10,22,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
23,12,1X [3P] SAJ R6 12KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 23PCS JINKO 650W,"23X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 12KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"42,890","33,220",Master Tec 6mm DC Cable,40,10,23,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
24,12,1X [3P] SAJ R6 12KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 24PCS JINKO 650W,"24X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 12KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"44,170","34,190",Master Tec 6mm DC Cable,40,10,24,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
25,12,1X [3P] SAJ R6 12KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 25PCS JINKO 650W,"25X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 12KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"45,430","35,140",Master Tec 6mm DC Cable,40,10,25,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
26,12,1X [3P] SAJ R6 12KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 26PCS JINKO 650W,"26X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 12KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"46,700","36,100",Master Tec 6mm DC Cable,40,10,26,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
27,12,1X [3P] SAJ R6 12KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 27PCS JINKO 650W,"27X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 12KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"47,960","37,080",Master Tec 6mm DC Cable,40,10,27,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
28,15,1X [3P] SAJ R6 15KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 28PCS JINKO 650W,"28X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 15KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"50,260","38,190",Master Tec 6mm DC Cable,40,15,28,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,14way
29,15,1X [3P] SAJ R6 15KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 29PCS JINKO 650W,"29X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 15KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"52,030","39,080",Master Tec 6mm DC Cable,40,15,29,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,14way
30,15,1X [3P] SAJ R6 15KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 30PCS JINKO 650W,"30X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 15KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"53,590","40,310",Master Tec 6mm DC Cable,40,15,30,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,14way
31,15,1X [3P] SAJ R6 15KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 31PCS JINKO 650W,"31X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 15KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"54,850","41,240",Master Tec 6mm DC Cable,40,15,31,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,14way
32,15,1X [3P] SAJ R6 15KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 32PCS JINKO 650W,"32X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 15KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"56,110","42,180",Master Tec 6mm DC Cable,40,15,32,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,14way
33,15,1X [3P] SAJ R6 15KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 33PCS JINKO 650W,"33X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 15KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"57,370","43,110",Master Tec 6mm DC Cable,40,15,33,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,14way
34,15,1X [3P] SAJ R6 15KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 34PCS JINKO 650W,"34X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 15KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"58,630","44,040",Master Tec 6mm DC Cable,40,15,34,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,14way
35,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 35PCS JINKO 650W,"35X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"60,470","45,530",Master Tec 6mm DC Cable,40,15,35,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
36,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 36PCS JINKO 650W,"36X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"61,720","46,450",Master Tec 6mm DC Cable,40,15,36,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
37,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 37PCS JINKO 650W,"37X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"65,090","49,540",Master Tec 6mm DC Cable,40,15,37,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
38,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 38PCS JINKO 650W,"38X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"66,340","50,470",Master Tec 6mm DC Cable,40,15,38,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
39,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 39PCS JINKO 650W,"39X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"67,590","51,410",Master Tec 6mm DC Cable,40,15,39,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
40,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 40PCS JINKO 650W,"40X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"69,080","52,560",Master Tec 6mm DC Cable,40,15,40,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
41,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 41PCS JINKO 650W,"41X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"70,330","53,490",Master Tec 6mm DC Cable,40,15,41,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
42,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 42PCS JINKO 650W,"42X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"71,590","54,410",Master Tec 6mm DC Cable,40,15,42,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
43,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 43PCS JINKO 650W,"43X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"72,840","55,340",Master Tec 6mm DC Cable,40,15,43,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
44,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 44PCS JINKO 650W,"44X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"74,090","56,270",Master Tec 6mm DC Cable,40,15,44,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
45,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 45PCS JINKO 650W,"45X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"75,350","57,190",Master Tec 6mm DC Cable,40,15,45,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
46,25,1X [3P] SAJ R6 25KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 46PCS JINKO 650W,"46X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 25KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"77,570","58,830",Master Tec 6mm DC Cable,40,15,46,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
47,25,1X [3P] SAJ R6 25KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 47PCS JINKO 650W,"47X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 25KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"78,830","59,760",Master Tec 6mm DC Cable,40,15,47,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
48,25,1X [3P] SAJ R6 25KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 48PCS JINKO 650W,"48X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 25KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"80,070","60,680",Master Tec 6mm DC Cable,40,15,48,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
49,25,1X [3P] SAJ R6 25KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 49PCS JINKO 650W,"49X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 25KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"81,360","61,620",Master Tec 6mm DC Cable,40,15,49,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
50,25,1X [3P] SAJ R6 25KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 50PCS JINKO 650W,"50X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 25KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"82,650","62,570",Master Tec 6mm DC Cable,40,15,50,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
51,25,1X [3P] SAJ R6 25KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 51PCS JINKO 650W,"51X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 25KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"83,940","63,520",Master Tec 6mm DC Cable,40,15,51,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
52,25,1X [3P] SAJ R6 25KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 52PCS JINKO 650W,"52X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 25KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"85,230","64,460",Master Tec 6mm DC Cable,40,15,52,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
53,25,1X [3P] SAJ R6 25KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 53PCS JINKO 650W,"53X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 25KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"86,510","65,410",Master Tec 6mm DC Cable,40,15,53,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
